movie,token,mention_count,gender
JabWeMet,Aditya,668,male
Highway,Veera,519,male
Rockstar,Jordan,509,male
Queen,Rani,486,male
Highway,Mahabir,390,male
Haider,Haider,289,male
Rockstar,Janardan,272,unknown
Kaminey,Charlie,268,male
Nil Battey Sannata,Appu,222,male
JabWeMet,Geet,192,female
Rang De Basanti Script - Film Companion-min,Rang,191,unknown
Rang De Basanti Script - Film Companion-min,De,191,male
Rockstar,Khatana,180,male
Rockstar,hai,179,unknown
Kaminey,Guddu,167,male
Masaan,Devi,149,male
Haider,Ghazala,147,female
Raman Raghav 2_0,hai,147,unknown
Neerja,Safirini,147,unknown
JabWeMet,hai,140,unknown
Raman Raghav 2_0,ko,139,unknown
Kaminey,CHARLIE,123,male
Pink,hai,121,unknown
Queen,hai,113,unknown
Nil Battey Sannata,Chanda,111,female
Pink,-,110,unknown
Pink,ko,109,unknown
Rockstar,Heer,107,female
Nil Battey Sannata,hai,104,unknown
Rang De Basanti Script - Film Companion-min,Basanti_1.indd,102,unknown
Masaan,hai,96,unknown
Queen,RANI,90,male
Rang De Basanti Script - Film Companion-min,],89,unknown
Maqbool,Nimmi,89,female
Kaminey,hai,88,unknown
Rang De Basanti Script - Film Companion-min,V.O.,85,unknown
Pink,Andrea,84,female
Raman Raghav 2_0,Ramanna,83,male
JabWeMet,ho,83,unknown
Rockstar,nahin,81,unknown
Queen,Vijay,81,male
Rang De Basanti Script - Film Companion-min,gSA,81,unknown
Maqbool,Guddu,79,male
Raman Raghav 2_0,nahi,79,unknown
Pink,Minal,79,female
Haider,Salman,76,male
Pink,nahi,73,unknown
Rockstar,ho,72,unknown
Rang De Basanti Script - Film Companion-min,JAMES,71,male
Rang De Basanti Script - Film Companion-min,McKINLEY,70,female
Masaan,Shaalu,70,female
Haider,Arshia,70,female
Queen,rani,68,male
Highway,hai,67,unknown
Kaminey,Mikhail,67,male
JabWeMet,nahin,67,unknown
Rockstar,Dhingra,65,male
Pink,MINAL,65,female
