movie name,character,mentions,total centrality,count,average centrality,gender
Aan Milo Sajna,woman,2.0,222.5,12.0,18.541666666666668,female
Aan Milo Sajna,savitri,11.0,868.1666666666666,131.0,6.627226463104326,female
Aan Milo Sajna,deepali,4.0,0.0,89.0,0.0,female
Abhinetri,anjana,9.0,319.0,79.0,4.037974683544304,female
Aag Aur Shola,usha,6.0,48.0,54.0,0.8888888888888888,female
Aakhree Raasta,mary,0.0,256.0,136.0,1.8823529411764703,female
Aap Ke Saath,deepa,3.0,60.0,17.0,3.5294117647058822,female
Aap Ke Saath,ganga,5.0,280.5,36.0,7.791666666666667,female
Chetna,seema,23.0,227.50000000000003,170.0,1.3382352941176472,female
Chetna,dhawan,1.0,120.83333333333331,31.0,3.897849462365591,female
Adhikar,mother,0.0,242.3333333333333,33.0,7.3434343434343425,female
Adhikar,jyoti,0.0,52.75,86.0,0.6133720930232558,female
Aisa Pyaar Kahan,saritha,2.0,0.0,9.0,0.0,female
Aisa Pyaar Kahan,pooja,5.0,41.0,36.0,1.1388888888888888,female
Amrit (film),nurse,1.0,0.0,4.0,0.0,female
Amrit (film),sunita,4.0,408.3333333333333,54.0,7.561728395061728,female
Amrit (film),kamla,18.0,1007.6666666666666,165.0,6.107070707070707,female
Angaaray,mother,2.0,0.0,22.0,0.0,female
Angaaray,hirabai,1.0,20.0,7.0,2.857142857142857,female
Angaaray,aarti,12.0,431.0,118.0,3.652542372881356,female
Dharti,daughter,1.0,16.0,5.0,3.2,female
Ankush,anita,4.0,164.0,26.0,6.307692307692308,female
Anokha Rishta,dr.,0.0,0.0,0.0,0.0,female
Anokha Rishta,beena,1.0,0.0,30.0,0.0,female
Anokha Rishta,woman,1.0,20.0,5.0,4.0,female
Anokha Rishta,padma,14.0,415.0,222.0,1.8693693693693691,female
Anokha Rishta,mother,21.0,42.0,446.0,0.0941704035874439,female
Anokha Rishta,superior,12.0,4550.694033744033,375.0,12.135184089984088,female
