year,verb,gender
1970,introduces,female
1970,decides,female
1970,moves,female
1970,plays,female
1970,meets,female
1970,gets,female
1970,molests,female
1970,asks,female
1970,enters,female
1970,leaves,female
1970,promises,female
1970,loves,female
1970,marries,female
1970,finds,female
1970,does,female
1970,teaches,female
1970,tells,female
1970,testifies,female
1970,unites,female
1970,loves,female
1971,convinces,female
1971,loves,female
1971,finds,female
1971,finds,female
1971,sees,female
1971,feels,female
1971,lets,female
1971,witnesses,female
1971,meets,female
1971,enters,female
1971,meets,female
1971,hires,female
1971,lives,female
1971,reveals,female
1971,comes,female
1971,accepts,female
1971,meets,female
1971,wants,female
1971,leaves,female
1971,welcomes,female
1973,tries,female
1973,woos,female
1973,walks,female
1973,tells,female
1973,agrees,female
1973,tries,female
1973,abducts,female
1973,finds,female
1973,finds,female
1973,abducts,female
1973,gets,female
1973,finds,female
1973,stays,female
1973,kills,female
1973,delivers,female
1973,passes,female
1973,wants,female
1973,meets,female
1974,feels,female
1974,accepts,female
1974,names,female
1974,sees,female
1974,accepts,female
1974,calls,female
1974,finds,female
1974,takes,female
1974,starts,female
1974,meets,female
1974,meets,female
1974,knows,female
1974,meets,female
1974,reciprocates,female
1974,spends,female
1974,plays,female
1974,takes,female
1974,feels,female
1974,marries,female
1975,saves,female
1975,falls,female
1975,finds,female
1975,suspects,female
1975,brings,female
1975,falls,female
1975,passes,female
1975,falls,female
1975,rescues,female
1975,goes,female
1975,dies,female
1975,promises,female
1975,begins,female
1975,loves,female
1975,wants,female
1975,helps,female
1975,gets,female
1975,lives,female
1975,grows,female
1975,introduces,female
1975,finds,female
1975,finds,female
1975,recovers,female
1975,asks,female
1975,gets,female
1976,makes,female
1976,sends,female
1976,informs,female
1976,insists,female
1976,dies,female
1976,meets,female
1976,hears,female
1976,makes,female
1976,accepts,female
1976,informs,female
1977,attempts,female
1977,wants,female
1977,meets,female
1977,approaches,female
1977,ends,female
1977,helps,female
1977,admires,female
1977,refuses,female
1977,reaches,female
1977,rebukes,female
1977,manages,female
1977,rescues,female
1977,wants,female
1977,finds,female
1977,consoles,female
1977,returns,female
1977,tells,female
1977,finds,female
1978,falls,female
1978,introduces,female
1978,seduces,female
1978,succumbs,female
1978,decides,female
1978,passes,female
1978,sacrifices,female
1978,dies,female
1978,assists,female
1978,enrages,female
1978,comes,female
1978,encourages,female
1978,comes,female
1979,wants,female
1979,saves,female
1979,tells,female
1979,rescues,female
1979,attends,female
1979,encourages,female
1979,plays,female
1979,untangles,female
1979,goes,female
1979,brings,female
1980,gives,female
1980,dies,female
1980,calls,female
1980,tells,female
1980,reveals,female
1980,escapes,female
1980,likes,female
1980,believes,female
1980,explores,female
1980,leaves,female
1980,comes,female
1980,remarries,female
1980,picks,female
1981,asks,female
1981,knows,female
1981,meets,female
1981,brings,female
1981,forces,female
1981,kidnaps,female
1981,saves,female
1981,marries,female
1981,dies,female
1981,kidnaps,female
1981,gets,female
1981,invites,female
1981,comes,female
1981,turns,female
1981,pledges,female
1981,rapes,female
1981,asks,female
1981,manipulates,female
1982,reincarnates,female
1982,promises,female
1982,passes,female
1982,marries,female
1982,thinks,female
1982,meets,female
1982,promises,female
1982,rents,female
1982,rents,female
1982,helps,female
1982,looks,female
1982,romeos,female
1982,illtreats,female
1982,gets,female
1982,gives,female
1982,gets,female
1982,slaps,female
1982,meets,female
1982,beats,female
1982,comes,female
1982,marries,female
1982,lives,female
1982,warns,female
1982,leaves,female
1982,hears,female
1982,returns,female
1982,falls,female
1982,reveals,female
1982,tries,female
1982,meets,female
1982,dies,female
1982,supports,female
1982,goes,female
1982,understands,female
1982,meets,female
1982,goes,female
1983,marries,female
1983,pitches,female
1983,receives,female
1983,meets,female
1983,explains,female
1983,sees,female
1983,convinces,female
1983,returns,female
1983,decides,female
1983,agrees,female
1983,goes,female
1983,takes,female
1983,hires,female
1983,meets,female
1983,stays,female
1983,helps,female
1983,remarries,female
1983,refuses,female
1983,marries,female
1983,sees,female
1983,offers,female
1983,gives,female
1983,loves,female
1983,leaves,female
1983,dies,female
1983,meets,female
1983,finds,female
1983,saves,female
1983,meets,female
1983,expresses,female
1983,makes,female
1983,marries,female
1983,accepts,female
1983,knows,female
1983,brings,female
1983,meets,female
1983,sees,female
1984,elopes,female
1984,meets,female
1984,finds,female
1984,gets,female
1984,suggests,female
1984,falls,female
1984,meets,female
1984,accuses,female
1984,dies,female
1984,stays,female
1984,meets,female
1984,meets,female
1984,dies,female
1984,plays,female
1984,insists,female
1984,requests,female
1984,loves,female
1984,marries,female
1984,leaves,female
1984,kills,female
1985,feels,female
1985,adores,female
1985,agrees,female
1985,decides,female
1985,rapes,female
1985,lives,female
1985,helps,female
1985,plans,female
1985,enters,female
1985,falls,female
1985,declares,female
1985,loves,female
1985,falls,female
1985,runs,female
1985,rescues,female
1985,meets,female
1986,loves,female
1986,falls,female
1986,disapproves,female
1986,goes,female
1986,plays,female
1986,plays,female
1986,begs,female
1986,comes,female
1986,goes,female
1987,returns,female
1987,asks,female
1987,meets,female
1987,turns,female
1987,forces,female
1987,loves,female
1987,joins,female
1987,gives,female
1987,enters,female
1987,meets,female
1987,comes,female
1987,refuses,female
1987,looks,female
1987,looks,female
1987,saves,female
1988,overcomes,female
1988,falls,female
1988,convinces,female
1988,stumbles,female
1988,sees,female
1988,overcomes,female
1988,dies,female
1988,suggests,female
1988,decides,female
1988,grows,female
1988,falls,female
1989,rescues,female
1989,meets,female
1989,reveals,female
1989,kills,female
1989,marries,female
1989,knows,female
1989,finds,female
1989,confronts,female
1989,goes,female
1989,begins,female
1989,starts,female
1990,falls,female
1990,brings,female
1990,persuades,female
1990,comes,female
1990,seeks,female
1990,hears,female
1990,puts,female
1990,likes,female
1990,meets,female
1990,marries,female
1990,kills,female
1990,treats,female
1990,jumps,female
1990,transforms,female
1990,expresses,female
1990,approves,female
1991,sees,female
1991,knows,female
1991,prints,female
1991,reminds,female
1991,starts,female
1991,decides,female
1991,lives,female
1991,takes,female
1991,kills,female
1991,brings,female
1991,dispatches,female
1991,gets,female
1991,makes,female
1991,leaves,female
1991,makes,female
1991,falls,female
1991,wants,female
1991,kidnaps,female
1991,lives,female
1991,girlfriends,female
1991,meets,female
1991,finds,female
1991,calls,female
1991,takes,female
1991,gets,female
1991,meets,female
1991,looks,female
