year,adjective,gender
1970,unhappilly,male
1970,famous,male
1970,general,male
1970,cruel,male
1970,cruel,male
1970,interested,male
1970,subordinate,male
1970,young,male
1970,wealthy,male
1970,local,male
1970,rich,male
1970,catholic,male
1970,wealthy,male
1971,fresh,male
1971,sympathetic,male
1971,mistake,male
1971,biological,male
1971,elderly,male
1971,wrong,male
1971,caravan,male
1971,impertinent,male
1971,blind,male
1971,horrified,male
1971,crippled,male
1971,honourable,male
1971,villainous,male
1971,local,male
1971,abstemious,male
1971,ignorant,male
1971,comic,male
1971,young,male
1971,proud,male
1973,young,male
1973,late,male
1973,young,male
1973,innocent,male
1973,biological,male
1973,frantic,male
1973,young,male
1973,distant,male
1973,young,male
1973,daughterto,male
1973,seasonal,male
1973,local,male
1974,gorgeous,male
1974,broken,male
1974,illegitimate,male
1974,snobby,male
1974,ashamed,male
1974,born,male
1974,free,male
1974,homeless,male
1974,wealthy,male
1975,old,male
1975,brutally,male
1975,young,male
1975,dead,male
1975,little,male
1975,wealthy,male
1975,new,male
1975,powerful,male
1975,shy,male
1975,widowed,male
1975,jovial,male
1975,retired,male
1975,young,male
1975,young,male
1975,young,male
1975,intimate,male
1976,greedy,male
1976,dangerous,male
1976,true,male
1976,rich,male
1976,old,male
1976,poor,male
1976,young,male
1976,little,male
1976,young,male
1976,young,male
1976,ferocious,male
1976,furious,male
1976,cunning,male
1976,vengeful,male
1976,powerful,male
1976,shy,male
1976,generous,male
1977,criminal,male
1977,young,male
1977,spoilt,male
1977,enraged,male
1977,abusive,male
1977,adoptive,male
1977,elderly,male
1977,young,male
1977,escaped,male
1977,unattractive,male
1977,opposite,male
1977,nihilistic,male
1977,successful,male
1977,healthy,male
1977,wealthy,male
1977,rich,male
1977,wealthy,male
1977,crippled,male
1977,real,male
1977,rich,male
1977,honest,male
1977,real,male
1977,poor,male
1977,young,male
1977,married,male
1978,bethrothed,male
1978,obedient,male
1978,desperate,male
1978,second,male
1978,important,male
1978,young,male
1978,orphan,male
1978,wealthy,male
1978,pakistani,male
1979,grown,male
1979,young,male
1979,popular,male
1979,young,male
1979,reluctant,male
1979,wealthy,male
1979,excellent,male
1979,illegitimate,male
1979,susainathanthe,male
1979,young,male
1979,young,male
1979,beloved,male
1980,dead,male
1980,desperate,male
1980,scheming,male
1980,elderly,male
1980,changed,male
1980,rich,male
1980,local,male
1980,real,male
1980,young,male
1980,dead,male
1980,rich,male
1980,second,male
1980,young,male
1980,acerbic,male
1980,pakistani,male
1980,adoptive,male
1980,mysterious,male
1980,angry,male
1980,good,male
1980,rich,male
1980,following,male
1980,leading,male
1980,second,male
1981,studious,male
1981,relative,male
1981,real,male
1981,senile,male
1981,elder,male
1981,young,male
1981,dreaded,male
1981,honest,male
1981,tough,male
1981,honest,male
1981,wealthy,male
1981,young,male
1981,young,male
1981,devout,male
1981,lovable,male
1982,young,male
1982,second,male
1982,big,male
1982,jolly,male
1982,unscrupulous,male
1982,wealthy,male
1982,smart,male
1982,prestigious,male
1982,rich,male
1982,elder,male
1982,simple,male
1982,devoted,male
1982,inebriated,male
1982,unsuspecting,male
1982,good,male
1982,biological,male
1982,biological,male
1982,young,male
1982,rich,male
1982,loving,male
1982,real,male
1982,nice,male
1982,real,male
1982,ravi,male
1982,tearful,male
1982,new,male
1983,angry,male
1983,young,male
1983,rich,male
1983,poor,male
1983,psycopathic,male
1983,good,male
1983,grown,male
1983,young,male
1983,twin,male
1983,goodnatured,male
1983,close,male
1983,ambitious,male
1983,dumb,male
1983,unemployed,male
1983,ill,male
1984,adamant,male
1984,little,male
1984,rich,male
1984,close,male
1984,rich,male
1984,maternal,male
1984,young,male
1984,hostel,male
1984,newborn,male
1984,adopted,male
1984,wily,male
1984,wily,male
1984,enterprising,male
1984,small,male
1984,disillusioned,male
1984,eligible,male
1984,decent,male
1984,bloodthirsty,male
1984,deformed,male
1984,mysterious,male
1984,intractable,male
1984,widowed,male
1984,cruel,male
1984,influential,male
1984,poor,male
1984,biological,male
1984,holy,male
1985,rich,male
1985,rival,male
1985,poor,male
1985,new,male
1985,little,male
1985,young,male
1985,real,male
1985,wealthy,male
1985,compelling,male
1985,proud,male
1985,unfortunate,male
1985,local,male
1985,old,male
1985,sister,male
1985,unstable,male
1985,military,male
1985,established,male
1985,poor,male
1985,frustrated,male
1985,real,male
1985,real,male
1985,haughty,male
1985,entire,male
1985,dynamic,male
1985,wizard,male
1985,young,male
1985,famous,male
1985,distraught,male
1985,powerful,male
1985,enraged,male
1985,second,male
1986,tyrant,male
1986,nagesh,male
1986,rich,male
1986,poor,male
1986,honest,male
1986,brave,male
1986,influential,male
1986,young,male
1986,arun,male
1986,strong,male
1987,dead,male
1987,old,male
1987,young,male
1987,dead,male
1987,rich,male
1987,honest,male
1987,rich,male
1987,corrupt,male
1987,devious,male
1987,intent,male
1987,local,male
1987,late,male
1987,real,male
1987,young,male
1987,cruel,male
1987,elder,male
1988,careless,male
1988,emotional,male
1988,elderly,male
1988,dreaded,male
1988,young,male
1988,beautiful,male
1988,homeless,male
1988,greedy,male
1988,mutual,male
1988,common,male
1988,hale,male
1988,young,male
1988,second,male
1988,wealthy,male
1988,orphan,male
1989,fourth,male
1989,married,male
1989,true,male
1989,young,male
1989,respected,male
1989,upper,male
1989,imaginary,male
1989,old,male
1989,old,male
1989,old,male
1989,innocent,male
1989,ruthless,male
1989,cruel,male
1989,little,male
1989,upstanding,male
1989,humiliated,male
1989,late,male
1989,seth,male
1989,corrupt,male
1990,good,male
1990,bigwigs,male
1990,famous,male
1990,new,male
1990,vampire,male
1990,righteous,male
1990,local,male
1990,dangerous,male
1990,rich,male
1990,enrages,male
1990,married,male
1990,unmarried,male
1990,amateur,male
1990,fine,male
1990,reputed,male
1990,angry,male
1990,separate,male
1990,second,male
1990,wily,male
1990,grateful,male
1990,rival,male
1990,young,male
1990,decent,male
1990,strong,male
1990,qualified,male
1990,dishonest,male
1990,grateful,male
1991,millionaire,male
1991,evil,male
1991,evil,male
1991,newborn,male
1991,new,male
1991,wealthy,male
1991,dead,male
1991,rich,male
1991,right,male
1991,young,male
1991,handicapped,male
1991,seasoned,male
1991,retired,male
1991,dubious,male
1991,abusive,male
1991,young,male
1991,dead,male
1991,young,male
1991,real,male
1991,criminal,male
1991,biological,male
1991,simple,male
1991,murdering,male
1991,dreaded,male
1991,big,male
1991,traumatised,male
1991,healthy,male
1991,proud,male
1991,dignified,male
1991,honest,male
1991,elder,male
1991,young,male
1992,cruel,male
1992,widowed,male
1992,natural,male
1992,dead,male
1992,real,male
1992,protege,male
1992,gullible,male
1992,young,male
1992,greedy,male
1992,royal,male
1992,deceased,male
1992,amoral,male
1992,elderly,male
1992,younger,male
1992,new,male
1992,innocent,male
1992,unbeknown,male
1992,innocent,male
1992,famous,male
1992,wealthy,male
1992,long,male
1992,dead,male
1992,simple,male
1992,late,male
1992,new,male
1992,elder,male
1992,sympathetic,male
1992,longtime,male
1992,wealthy,male
1992,marry,male
1992,spoiled,male
1992,major,male
1992,little,male
1992,indian,male
1992,little,male
1992,honest,male
1992,newborn,male
1992,twin,male
1992,remaining,male
1993,honest,male
1993,unable,male
1993,wealthy,male
1993,poor,male
1993,fake,male
1993,real,male
1993,young,male
1993,repentant,male
1993,common,male
1993,middle,male
1993,psychotic,male
1993,legendary,male
1993,homeless,male
1993,new,male
1993,corrupt,male
1993,assistant,male
1993,tribal,male
1993,wounded,male
1993,single,male
1993,young,male
1993,corrupt,male
1993,stepbrother,male
1993,real,male
1993,twin,male
1994,dejected,male
1994,romantic,male
1994,orphan,male
1995,conservative,male
1995,ideal,male
1995,fearful,male
1995,loyal,male
1995,frustrated,male
1995,twin,male
1995,rich,male
1995,proud,male
1996,following,male
1996,discussions.and,male
1996,unconscious,male
1996,maternal,male
1996,dutiful,male
1996,honourable,male
1996,lord,male
1996,influential,male
1996,real,male
1996,elderly,male
1996,available,male
1996,disapproving,male
1996,young,male
1996,silly,male
1996,wealthy,male
1996,neighboring,male
1996,twin,male
1996,young,male
1996,adopted,male
1996,local,male
1996,ruthless,male
1997,honest,male
1997,angry,male
1997,old,male
1997,drunkard,male
1997,ill,male
1997,powerful,male
1997,effective,male
1997,influential,male
1997,unbending,male
1997,criminal,male
1997,renowned,male
1997,twin,male
1997,young,male
1997,happy,male
1997,greedy,male
1997,wealthy,male
1997,corrupt,male
1997,miscreant,male
1997,western,male
1997,old,male
1997,adopted,male
1997,angry,male
1997,deranged,male
1997,elder,male
1997,younger,male
1997,middle,male
1997,helpless,male
1998,poor,male
1998,sister,male
1998,new,male
1998,young,male
1998,respectable,male
1998,naive,male
1998,beloved,male
1998,confederate,male
1998,ultimate,male
1998,petty,male
1998,young,male
1998,elder,male
1998,corrupt,male
1998,wayward,male
1998,young,male
1998,little,male
1998,wealthy,male
1998,playboy,male
1998,rich,male
1998,unaware,male
1998,mysterious,male
1999,late,male
1999,healthy,male
1999,captive,male
1999,wealthy,male
1999,codename,male
1999,late,male
1999,young,male
1999,young,male
1999,comforting,male
1999,pampered,male
1999,healthy,male
1999,young,male
1999,criminal,male
1999,young,male
1999,honest,male
1999,close,male
1999,grateful,male
1999,unknown,male
2000,honest,male
2000,young,male
2000,loving,male
2000,young,male
2000,aspiring,male
2000,mysterious,male
2000,young,male
2000,common,male
2000,pretend,male
2000,good,male
2000,twin,male
2000,innocent,male
2000,different,male
2000,shameless,male
2000,rival,male
2000,late,male
2000,new,male
2000,young,male
2000,real,male
2000,wrong,male
2001,twin,male
2001,arabic,male
2001,apprehend,male
2001,faithful,male
2001,old,male
2001,common,male
2001,old,male
2001,poor,male
2001,acclaimed,male
2001,young,male
2001,innocent,male
2001,wealthy,male
2001,wealthy,male
2001,real,male
2001,great,male
2001,impossible,male
2002,wealthy,male
2002,young,male
2002,real,male
2002,suspended,male
2002,second,male
2002,young,male
2002,young,male
2002,young,male
2002,ill,male
2002,disguise,male
2002,big,male
2002,overprotective,male
2002,estranged,male
2002,respected,male
2002,deceased,male
2002,anonymous,male
2002,young,male
2002,frustrated,male
2002,armed,male
2002,aspiring,male
2002,real,male
2002,disabled,male
2003,angry,male
2003,flat,male
2003,notorious,male
2003,jailed,male
2003,irate,male
