year,verb,gender
1970,convinces,male
1970,lives,male
1970,lives,male
1970,gets,male
1970,nets,male
1970,thinks,male
1970,gives,male
1970,molests,male
1970,discovers,male
1970,falls,male
1970,steps,male
1970,believes,male
1970,brings,male
1970,draws,male
1970,ends,male
1970,rents,male
1970,comes,male
1970,sings,male
1970,leaves,male
1970,consults,male
1970,informs,male
1971,kidnaps,male
1971,introduces,male
1971,shoots,male
1971,gets,male
1971,takes,male
1971,happens,male
1971,slips,male
1971,gets,male
1971,rebukes,male
1971,marries,male
1971,bears,male
1971,dies,male
1971,smiles,male
1971,earns,male
1971,s,male
1971,finds,male
1971,lives,male
1971,kills,male
1971,reaches,male
1971,identifies,male
1971,lives,male
1971,decides,male
1971,makes,male
1971,tries,male
1971,overhears,male
1971,tells,male
1971,returns,male
1971,leaves,male
1971,leads,male
1971,appoints,male
1971,arranges,male
1971,dies,male
1971,decides,male
1971,stops,male
1971,starts,male
1971,attains,male
1971,gives,male
1973,breaks,male
1973,comes,male
1973,needs,male
1973,decides,male
1973,asks,male
1973,feels,male
1973,discovers,male
1973,refuses,male
1973,arrives,male
1973,tries,male
1973,falls,male
1973,shields,male
1973,decides,male
1973,claims,male
1973,lives,male
1973,phones,male
1973,asks,male
1973,comes,male
1973,tries,male
1973,infiltrates,male
1973,prepares,male
1974,finds,male
1974,remarries,male
1974,enters,male
1974,suggests,male
1974,enters,male
1974,plots,male
1974,claims,male
1974,fights,male
1974,kidnaps,male
1974,begins,male
1974,grows,male
1974,does,male
1974,changes,male
1974,attempts,male
1974,asks,male
1974,asks,male
1974,falls,male
1974,comes,male
1974,travels,male
1974,abandons,male
1974,lives,male
1974,meets,male
1974,comes,male
1974,passes,male
1975,travels,male
1975,helps,male
1975,leaves,male
1975,includes,male
1975,beats,male
1975,beats,male
1975,abducts,male
1975,leaves,male
1975,goes,male
1975,finds,male
1975,befriends,male
1975,meets,male
1975,dies,male
1975,stays,male
1975,arranges,male
1975,changes,male
1975,sees,male
1975,wins,male
1975,grows,male
1975,remains,male
1975,falls,male
1975,beats,male
1975,summons,male
1975,turns,male
1975,helps,male
1975,refuses,male
1975,fights,male
1976,raises,male
1976,agrees,male
1976,leaves,male
1976,raises,male
1976,raises,male
1976,thinks,male
1976,wants,male
1976,tells,male
1976,pops,male
1976,decides,male
1976,passes,male
1976,informs,male
1976,discovers,male
1976,makes,male
1976,comes,male
1976,asks,male
1976,finds,male
1976,lives,male
1976,encounters,male
1976,dies,male
1976,feels,male
1976,steals,male
1976,kills,male
1976,sees,male
1976,informs,male
1976,informs,male
1977,receives,male
1977,goes,male
1977,meets,male
1977,wants,male
1977,performs,male
1977,defies,male
1977,kidnaps,male
1977,reappears,male
1977,lives,male
1977,asks,male
1977,falls,male
1977,falls,male
1977,finds,male
1977,finds,male
1977,falls,male
1977,resents,male
1977,dislikes,male
1977,remains,male
1977,goes,male
1977,marries,male
1977,teaches,male
1977,vows,male
1977,lives,male
1977,reminds,male
1977,gives,male
1977,starts,male
1977,uses,male
1977,uses,male
1977,tries,male
1977,meets,male
1977,attacks,male
1977,dwarkadas,male
1977,dwarkadas,male
1977,hears,male
1977,informs,male
1977,gets,male
1977,arrives,male
1977,asks,male
1977,wants,male
1977,seeks,male
1977,raises,male
1977,takes,male
1978,ends,male
1978,meets,male
1978,faces,male
1978,commits,male
1978,wins,male
1978,meets,male
1978,finds,male
1978,begins,male
1978,remembers,male
1978,decides,male
1978,follows,male
1978,feels,male
1978,comes,male
1978,introduces,male
1978,recovers,male
1978,comes,male
1978,dies,male
1978,rescues,male
1978,goes,male
1978,begins,male
1978,follows,male
1978,permits,male
1978,realises,male
1978,comes,male
1978,brings,male
1978,tries,male
1978,gives,male
1978,rescues,male
1978,tells,male
1979,despises,male
1979,accepts,male
1979,introduces,male
1979,introduces,male
1979,passes,male
1979,holds,male
1979,agrees,male
1979,finds,male
1979,refuses,male
1979,consists,male
1979,rescues,male
1979,informs,male
1979,borrows,male
1979,shocks,male
1979,gets,male
1979,falls,male
1979,joins,male
1979,betrays,male
1979,kills,male
1979,gives,male
1979,encourages,male
1979,helps,male
1979,bhojraj,male
1979,locates,male
1979,checks,male
1979,creates,male
1979,discovers,male
1979,lives,male
1979,brings,male
1979,threatens,male
1979,captures,male
1979,comes,male
1979,steals,male
1979,brings,male
1979,abandons,male
1980,tells,male
1980,sets,male
1980,informs,male
1980,exploits,male
1980,asks,male
1980,marries,male
1980,fake,male
1980,abducts,male
1980,meets,male
1980,meets,male
1980,catches,male
1980,decides,male
1980,loses,male
1980,begs,male
1980,wants,male
1980,lives,male
1980,makes,male
1980,meets,male
1980,sees,male
1980,marries,male
1980,wins,male
1980,grows,male
1980,tries,male
1980,tries,male
1980,comes,male
1980,belongs,male
1980,proves,male
1980,believes,male
1980,intends,male
1980,saves,male
1980,backfires,male
1980,confesses,male
1980,offers,male
1980,puts,male
1980,befriends,male
1980,passes,male
1980,picks,male
1981,meets,male
1981,tries,male
1981,matches,male
1981,knows,male
1981,lies,male
1981,brings,male
1981,switches,male
1981,grows,male
1981,takes,male
1981,lives,male
1981,buys,male
1981,destroys,male
1981,calls,male
1981,accepts,male
1981,begets,male
1981,kills,male
1981,kills,male
1981,gets,male
1981,commits,male
1981,wants,male
1981,lives,male
1981,grows,male
1981,sets,male
1981,asks,male
1981,leaves,male
